fold num,imgid,feature1,feature2,feature3
0,testimage/1.png,5307,166.5,590.5828220844269
1,testimage/1.png,5307,166.5,590.5828220844269
2,testimage/1.png,76328,11030.5,1185.1240140199661
3,testimage/1.png,76328,11030.5,1185.1240140199661
4,testimage/1.png,10272,178.0,549.8721451759338
5,testimage/1.png,10272,178.0,549.8721451759338
6,testimage/1.png,10272,178.0,549.8721451759338
7,testimage/1.png,10272,178.0,549.8721451759338
8,testimage/1.png,10272,178.0,549.8721451759338
9,testimage/1.png,10272,178.0,549.8721451759338
0,testimage/1.png,10272,178.0,549.8721451759338
